keys,es,en
DLG_3_31_LUPE,Creo que huyó de su casa porque su papá la golpeaba...,Creo que huyó de su casa porque su papá la golpeaba...
DLG_3_32_LUPE,"Cuando llegó, conoció al zapatero y se casaron a los 3 meses","Cuando llegó, conoció al zapatero y se casaron a los 3 meses"
DLG_3_33_LUPE,Primero le dieron y luego se presentaron... jejeje,Primero le dieron y luego se presentaron... jejeje
DLG_3_34_NARRATOR,3 horas después,3 horas después
DLG_3_36_ANA_MARÍA,"Ay Lupe, ¡qué rico que platicas tú!","Ay Lupe, ¡qué rico que platicas tú!"
DLG_3_37_ANA_MARÍA,No sé por qué no lo hicimos antes tanto,No sé por qué no lo hicimos antes tanto
DLG_3_38_LUPE,"Es que yo no quiero molestarla, patrona","Es que yo no quiero molestarla, patrona"
DLG_3_40_ANA_MARÍA,¡Pero mira la hora que es!,¡Pero mira la hora que es!
DLG_3_41_ANA_MARÍA,¡Mi mamá me va a matar!,¡Mi mamá me va a matar!
DLG_3_42_ANA_MARÍA,"Te busco luego, Lupe","Te busco luego, Lupe"
DLG_3_43_LUPE,"Sí, como usted mande, patrona","Sí, como usted mande, patrona"
DLG_3_45_RICO,¡Quién viera al Lupe!,¡Quién viera al Lupe!
DLG_3_46_RICO,¡¿Conquistando a Ana María?!,¡¿Conquistando a Ana María?!
DLG_3_47_RICO,"¡Ja! No tiene oportunidad con ella, de eso me encargo","¡Ja! No tiene oportunidad con ella, de eso me encargo"
DLG_4_2_ANA_MARÍA,"El escritorio, claro. ¡Gracias Quemamais!","El escritorio, claro. ¡Gracias Quemamais!"
DLG_4_4_ANA_MARÍA,Aquí segurito que encuentro uno,Aquí segurito que encuentro uno
DLG_4_5_ANA_MARÍA,A ver...,A ver...
DLG_4_7_ANA_MARÍA,...mmm...mmm...mmm,...mmm...mmm...mmm
DLG_4_8_ANA_MARÍA,¿Qué es esto? ¿una carta para Agustina?,¿Qué es esto? ¿una carta para Agustina?
DLG_4_9_ANA_MARÍA,¿Qué hace en el escritorio de mi mamá?,¿Qué hace en el escritorio de mi mamá?
DLG_4_10_ANA_MARÍA,Lo mejor será leerla en voz alta,Lo mejor será leerla en voz alta
DLG_5_2_ANA_MARÍA,¡No puedo creerlo! ¿esta carta la escribió mi papá para Agustina la sirvienta?,¡No puedo creerlo! ¿esta carta la escribió mi papá para Agustina la sirvienta?
DLG_5_3_ANA_MARÍA,Y lo hizo el 12 de Diciembre de 1980…,Y lo hizo el 12 de Diciembre de 1980…
DLG_5_4_ANA_MARÍA,¿El día en que murió escribió esto?,¿El día en que murió escribió esto?
DLG_5_5_ANA_MARÍA,¿Pero a qué hora si lo atropellaron después del almuerzo?,¿Pero a qué hora si lo atropellaron después del almuerzo?
DLG_5_6_ANA_MARÍA,¿Y estaba enamorado de la mamá de Lupe?,¿Y estaba enamorado de la mamá de Lupe?
DLG_5_8_ANA_MARÍA,Esto está raro... tengo que investigar,Esto está raro... tengo que investigar
DLG_6_2_MAMA_IS,Y yo que pensaba que los muchachos como tú la tenían chiquita,Y yo que pensaba que los muchachos como tú la tenían chiquita
DLG_6_3_MAMA_IS,La tienes bien gorda Rico,La tienes bien gorda Rico
DLG_6_4_RICO,Y usted tiene esa cuca como para un batallón,Y usted tiene esa cuca como para un batallón
DLG_6_5_MAMA_IS,Bueno pero cuéntame. ¿Qué viste en el establo?,Bueno pero cuéntame. ¿Qué viste en el establo?
DLG_6_6_MAMA_IS,¿De qué hablaron Ana María y Lupe?,¿De qué hablaron Ana María y Lupe?
DLG_6_7_RICO,¿Hablar? Estaban era culiando como locos,¿Hablar? Estaban era culiando como locos
DLG_6_8_MAMA_IS,¡Tenía que ser hija mía esa chiquilla!,¡Tenía que ser hija mía esa chiquilla!
DLG_6_9_MAMA_IS,jo jo jo jo jo,jo jo jo jo jo
DLG_6_10_MAMA_IS,Mentira. Hablando en serio. ¡Eso puede meternos en muchos problemas!...,Mentira. Hablando en serio. ¡Eso puede meternos en muchos problemas!...
DLG_6_11_MAMA_IS,Nuestras haciendas deben unirse a como dé lugar,Nuestras haciendas deben unirse a como dé lugar
DLG_6_12_RICO,Y yo que quería ser el primero en abrir ese sapo,Y yo que quería ser el primero en abrir ese sapo
DLG_6_13_RICO,Estaba que me la comía desde que éramos pequeños,Estaba que me la comía desde que éramos pequeños
DLG_6_14_PLAYER_OPT_0,"Es su culpa, vieja gonorrea","Es su culpa, vieja gonorrea"
DLG_6_14_PLAYER_OPT_1,Seguro le gustan así todos sucios,Seguro le gustan así todos sucios
DLG_6_14_PLAYER_OPT_2,¡La desvirgó Lupe! ¡la desvirgó Lupe,¡La desvirgó Lupe! ¡la desvirgó Lupe
DLG_6_15_MAMA_IS,A mí no me eche la culpa... bobo marica,A mí no me eche la culpa... bobo marica
DLG_6_16_RICO,Pues me la podría untar de mierda,Pues me la podría untar de mierda
DLG_6_17_MAMA_IS,No puedo creer que hasta el pájaro lo sabe,No puedo creer que hasta el pájaro lo sabe
DLG_6_18_RICO,Tenemos que separarlos como seya,Tenemos que separarlos como seya
DLG_6_19_MAMA_IS,Se me hace severo caldo cuando te pones así,Se me hace severo caldo cuando te pones así
DLG_7_3_ANA_MARÍA,¡Tiene que haber algo por aquí!,¡Tiene que haber algo por aquí!
DLG_7_4_ANA_MARÍA,La madre que nuestros padres no murieron por casualidad el mismo día,La madre que nuestros padres no murieron por casualidad el mismo día
DLG_7_5_ANA_MARÍA,Me quito una teta si mi mamaita no tuvo algo que ver,Me quito una teta si mi mamaita no tuvo algo que ver
DLG_7_6_LUPE,¡Uy no! con lo ricas que las tiene...,¡Uy no! con lo ricas que las tiene...
DLG_7_7_ANA_MARÍA,Deja de coquetear y vigila que no venga naidens,Deja de coquetear y vigila que no venga naidens
DLG_7_9_ANA_MARÍA,"Si yo fuera ella, ¿dónde escondería algo importante?","Si yo fuera ella, ¿dónde escondería algo importante?"
DLG_7_10_LUPE,Esa carta que me mostraste se veía muy sospechosa,Esa carta que me mostraste se veía muy sospechosa
DLG_7_11_LUPE,¿Será que somos hermanos señorita Ana María?,¿Será que somos hermanos señorita Ana María?
DLG_7_12_ANA_MARÍA,Cállese esos ojos,Cállese esos ojos
DLG_7_14_ANA_MARÍA,No quisiera nunca más poder tenerte dentro,No quisiera nunca más poder tenerte dentro
DLG_7_15_LUPE,No sea pendejo... mejor siga buscando,No sea pendejo... mejor siga buscando
DLG_7_17_ANA_MARÍA,La madre que tiene que estar aquí escondido,La madre que tiene que estar aquí escondido
DLG_8_2_ANA_MARÍA,"Pájaro triplehijueputa, ¿¡otra vez jodiendo!?","Pájaro triplehijueputa, ¿¡otra vez jodiendo!?"
DLG_8_3_ANA_MARÍA,¿Cuántas veces le he dicho que no mueva las cosas?,¿Cuántas veces le he dicho que no mueva las cosas?
DLG_8_5_ANA_MARÍA,¿Qué es esto... un libro de filosofía?,¿Qué es esto... un libro de filosofía?
DLG_8_6_ANA_MARÍA,No imagino a mi mamá leyendo este tipo de libros,No imagino a mi mamá leyendo este tipo de libros
DLG_8_7_LUPE,Yo me la imagino haciendo cosas bien ricas,Yo me la imagino haciendo cosas bien ricas
DLG_8_8_ANA_MARÍA,¿Qué dijistes?,¿Qué dijistes?
DLG_8_9_ANA_MARÍA,Ojo con eso hermanito... a yo no me gusta compartir la comida,Ojo con eso hermanito... a yo no me gusta compartir la comida
DLG_8_10_LUPE,No se enoje señorita. Era un chiste nomás.,No se enoje señorita. Era un chiste nomás.
DLG_8_11_ANA_MARÍA,"Sí, cómo no. Hágase el pendejo y verá.","Sí, cómo no. Hágase el pendejo y verá."
DLG_8_12_ANA_MARÍA,No sé dónde más buscar Lupe...,No sé dónde más buscar Lupe...
DLG_8_13_LUPE,¿Puedo leer el libro señorita?,¿Puedo leer el libro señorita?
DLG_8_14_ANA_MARÍA,Claro papi. A mí me gustan así bien pilos,Claro papi. A mí me gustan así bien pilos
DLG_8_16_ANA_MARÍA,Aquí tienes. Podríamos leerlo juntos y discutirlo... en el establo... desnudos,Aquí tienes. Podríamos leerlo juntos y discutirlo... en el establo... desnudos
DLG_8_17_LUPE,Esa idea me gusta mucho muy señorita,Esa idea me gusta mucho muy señorita
DLG_8_19_LUPE,Está escrito en primera persona,Está escrito en primera persona
DLG_8_20_LUPE,...y con una prosa bastante particular,...y con una prosa bastante particular
DLG_8_21_ANA_MARÍA,Déjame ver. Ese autor no suele escribir así,Déjame ver. Ese autor no suele escribir así
DLG_8_23_ANA_MARÍA,"¡Grandísimo pendejo, este es el diario de Agustina!","¡Grandísimo pendejo, este es el diario de Agustina!"
DLG_8_24_ANA_MARÍA,"¡Lupe, aquí debe estar todo!","¡Lupe, aquí debe estar todo!"
DLG_8_25_ANA_MARÍA,Tenemos que leerla en voz alta,Tenemos que leerla en voz alta
DLG_9_2_ANA_MARÍA,"¡No somos hermanos, Lupe!","¡No somos hermanos, Lupe!"
DLG_9_3_LUPE,¡Vamos al establo a celebrarlo!,¡Vamos al establo a celebrarlo!
DLG_9_4_LUPE,Tengo un amigo que se emociona cuando te ve entre la paja,Tengo un amigo que se emociona cuando te ve entre la paja
DLG_10_2_MAMA_IS,¡Queridos!,¡Queridos!
DLG_10_3_MAMA_IS,Muchas gracias a todos por acompañarnos el día de hoy,Muchas gracias a todos por acompañarnos el día de hoy
DLG_10_4_MAMA_IS,¡En el cumpleaños de nuestro querido Rico!,¡En el cumpleaños de nuestro querido Rico!
DLG_10_5_MAMA_IS,Él tiene un anuncio mucho muy importante por hacer,Él tiene un anuncio mucho muy importante por hacer
DLG_10_6_MAMA_IS,Adelante querido,Adelante querido
DLG_10_7_RICO,Muchas gracias Isabela,Muchas gracias Isabela
DLG_10_9_RICO,"Desde que era tan solo un niño, he soñado con este día","Desde que era tan solo un niño, he soñado con este día"
DLG_10_10_RICO,"Frente a todos ustedes. Amigos, amigas, conocidos, conocidas, sirvientas, sirvientos...","Frente a todos ustedes. Amigos, amigas, conocidos, conocidas, sirvientas, sirvientos..."
DLG_10_11_RICO,"...animales, muebles, luces, paredes, plantitas, roquitas, baldositas...","...animales, muebles, luces, paredes, plantitas, roquitas, baldositas..."
DLG_10_12_RICO,"...estrellitas, nubecitas, el sol, la luna y papito Dios","...estrellitas, nubecitas, el sol, la luna y papito Dios"
DLG_10_13_RICO,Quiero que sepan que desde que era apenas un feto he amado a Ana María,Quiero que sepan que desde que era apenas un feto he amado a Ana María
DLG_10_14_RICO,Sin importar sus problemas de flatulencia y estreñimiento,Sin importar sus problemas de flatulencia y estreñimiento
DLG_10_15_RICO,Y por eso quiero pedirle que se case conmigo,Y por eso quiero pedirle que se case conmigo
DLG_10_16_RICO,"Ana María, ¿me darías el honor de ser tu esposo y desvirgar ese sapo santo?","Ana María, ¿me darías el honor de ser tu esposo y desvirgar ese sapo santo?"
DLG_10_17_ANA_MARÍA,"Nooooo papi, prefiero que me empalen antes de casarme contigo","Nooooo papi, prefiero que me empalen antes de casarme contigo"
DLG_10_18_MAMA_IS,¿Qué son esas palabras señorita?,¿Qué son esas palabras señorita?
DLG_10_20_ANA_MARÍA,¡Usted cállese señora mamá!,¡Usted cállese señora mamá!
DLG_10_21_ANA_MARÍA,Mi corazón le pertenece a Lupe... y también mi cuerpo,Mi corazón le pertenece a Lupe... y también mi cuerpo
DLG_10_22_MAMA_IS,"No puedo creer que digas eso, Ana María de la Cruz","No puedo creer que digas eso, Ana María de la Cruz"
DLG_10_23_MAMA_IS,Tú eres una muchacha de la alta sociedad,Tú eres una muchacha de la alta sociedad
DLG_10_24_MAMA_IS,No es de Dios que te juntes con la chusma,No es de Dios que te juntes con la chusma
DLG_10_25_MAMA_IS,"Seguro que huele a jabón Rey y come con la boca abierta, como un marrano","Seguro que huele a jabón Rey y come con la boca abierta, como un marrano"
DLG_10_26_MAMA_IS,No me dejas otra alternativa que contarte una verdad que había preferido ocultarte,No me dejas otra alternativa que contarte una verdad que había preferido ocultarte
DLG_10_27_MAMA_IS,Algo que por poco nos destruye,Algo que por poco nos destruye
DLG_10_28_ANA_MARÍA,"¿Qué? ¿que mi cucho estaba enamorado de Agustina la sirvienta, la mamá de Lupe?","¿Qué? ¿que mi cucho estaba enamorado de Agustina la sirvienta, la mamá de Lupe?"
DLG_10_29_MAMA_IS,¡Entonces ya sabrás que Lupe es tu hermano!,¡Entonces ya sabrás que Lupe es tu hermano!
DLG_10_30_ANA_MARÍA,¡Ja ja ja ja! Vieja pendeja. Lupe y yo no somos hermanos.,¡Ja ja ja ja! Vieja pendeja. Lupe y yo no somos hermanos.
DLG_10_31_ANA_MARÍA,Encontramos el diario de Agustina oculto entre tus libracos de finanzas y administración,Encontramos el diario de Agustina oculto entre tus libracos de finanzas y administración
DLG_10_32_ANA_MARÍA,Tengo una idea. ¿Qué tal si nos cuentas ¡cómo es que mi cucho y Agustina murieron el mismo día!?,Tengo una idea. ¿Qué tal si nos cuentas ¡cómo es que mi cucho y Agustina murieron el mismo día!?
DLG_10_33_ANA_MARÍA,Porque la madre que eso no fue casualidad,Porque la madre que eso no fue casualidad
DLG_10_34_RICO,"Calmación Ana María, amor mío. Calmación.","Calmación Ana María, amor mío. Calmación."
DLG_10_35_RICO,Mama Is sólo se preocupa por ti. Lupe te ha estado metiendo ideas raras en la cabeza.,Mama Is sólo se preocupa por ti. Lupe te ha estado metiendo ideas raras en la cabeza.
DLG_10_36_LUPE,"¡Oiga oiga! Le he metido varias cosas, pero ideas ¡jamás!","¡Oiga oiga! Le he metido varias cosas, pero ideas ¡jamás!"
DLG_10_37_MAMA_IS,"Déjalos Rico, no saben de lo que hablan","Déjalos Rico, no saben de lo que hablan"
DLG_10_38_MAMA_IS,Yo sólo hice lo necesario para mantener a esta familia unida,Yo sólo hice lo necesario para mantener a esta familia unida
DLG_10_39_MAMA_IS,Y la reputación de la familia De La Cruz,Y la reputación de la familia De La Cruz
DLG_10_40_ANA_MARÍA,¿La reputación de la familia? ¿eso es todo lo que te importa?,¿La reputación de la familia? ¿eso es todo lo que te importa?
DLG_10_41_ANA_MARÍA,Tú mataste a mi papá Antonio y a Agustina,Tú mataste a mi papá Antonio y a Agustina
DLG_10_42_MAMA_IS,¡JO JO JO JO JO JO JO JO JO JO!,¡JO JO JO JO JO JO JO JO JO JO!
DLG_10_43_MAMA_IS,"¡Está bien, lo acepto!","¡Está bien, lo acepto!"
DLG_10_44_MAMA_IS,Lo hice porque iban a destruir la hacienda y esta familia,Lo hice porque iban a destruir la hacienda y esta familia
DLG_10_45_MAMA_IS,Huyendo como dos adolescentes enamorados,Huyendo como dos adolescentes enamorados
DLG_10_46_MAMA_IS,"Tu padre no fue más que un tonto, pero eso ya está en el pasado","Tu padre no fue más que un tonto, pero eso ya está en el pasado"
DLG_10_47_MAMA_IS,Tu futuro y el de la hacienda son uno: Rico,Tu futuro y el de la hacienda son uno: Rico
DLG_10_48_ANA_MARÍA,¡Vieja hijueputa! no te perdonaré jamás por esto,¡Vieja hijueputa! no te perdonaré jamás por esto
